"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","direction","core_gene_count","comparison"
"mmu00410","beta-Alanine metabolism",18,0.274491289682413,0.700001493313851,0.836477987421384,0.955559923130678,0.666491963661775,2479,"tags=28%, list=23%, signal=21%","80911/104776/246277/66054/11670","Positive NES",5,"STm vs NT"
"mmu05212","Pancreatic cancer",69,-0.201015589872198,-0.814744051382735,0.851239669421488,0.956772561620135,0.667337764943815,622,"tags=14%, list=6%, signal=14%","12675/12578/12567/56717/13557/18709/22339/12190/242705/13555","Negative NES",10,"STm vs NT"
"mmu04140","Autophagy - animal",146,0.21734916394285,0.78607936636192,0.850627137970353,0.956772561620135,0.667337764943815,3564,"tags=37%, list=33%, signal=25%","226421/66734/18412/71648/73683/74747/13666/97998/18753/12633/666468/97287/66795/213948/22320/269338/67443/353047/13143/52639/74769/73205/57436/19338/13033/74244/74302/13030/18708/52440/13039/225326/56480/100502698/228545/67841/72145/29869/16783/75669/19324/66840/228361/237782/66615/110157/26419/56486/64930/16653/100502841/11793/68728/56716","Positive NES",54,"STm vs NT"
"mmu04919","Thyroid hormone signaling pathway",88,0.227673446002679,0.773797176869129,0.846925972396487,0.956772561620135,0.667337764943815,2662,"tags=27%, list=25%, signal=21%","22417/12159/234779/18752/21833/16410/20779/13982/18128/56458/11461/22059/11931/12387/74769/20502/18129/328572/17246/20466/18640/18519/18708/18803","Positive NES",24,"STm vs NT"
"mmu04260","Cardiac muscle contraction",36,0.240007712679346,0.703933811886524,0.851694915254237,0.956772561620135,0.667337764943815,1809,"tags=14%, list=17%, signal=12%","12297/22003/326618/11931/21956","Positive NES",5,"STm vs NT"
"mmu04923","Regulation of lipolysis in adipocytes",24,0.259425829744577,0.699969813749627,0.852080123266564,0.956772561620135,0.667337764943815,2804,"tags=33%, list=26%, signal=25%","19225/11515/14677/19224/74769/225845/18708/67469","Positive NES",8,"STm vs NT"
"mmu05017","Spinocerebellar ataxia",106,-0.197577162015657,-0.849710409021914,0.859756097560976,0.962108013937282,0.67105918105368,4007,"tags=49%, list=38%, signal=31%","105675/70247/16440/68118/66413/80913/19175/18750/19167/56436/26446/19185/26444/21762/11651/11652/21374/69077/11938/22123/19179/226153/66997/26441/23997/14682/19184/26420/233871/23996/18710/67089/59029/329015/215999/78943/19173/17463/13063/22359/74143/81601/18795/16438/11739/76559/69597/56717/18709/67134/110616/16504","Negative NES",52,"STm vs NT"
"mmu01522","Endocrine resistance",70,-0.196701316318329,-0.798389871645511,0.864197530864197,0.963799958150241,0.672239292518805,1339,"tags=19%, list=13%, signal=16%","26395/18749/18747/12578/26396/12567/59035/16450/56717/13557/18709/242705/13555","Negative NES",13,"STm vs NT"
"mmu04152","AMPK signaling pathway",92,-0.192963772332488,-0.823939271002173,0.902564102564103,0.985552859092977,0.68741168863308,1649,"tags=36%, list=15%, signal=31%","71978/12894/226849/11651/11652/17274/207565/72674/16890/69008/18642/15568/26409/12443/16001/18710/21770/72149/74370/14936/19082/68465/20787/19016/18641/107476/56717/16337/18709/14104/20250/15357/100705","Negative NES",33,"STm vs NT"
"mmu05224","Breast cancer",85,0.218838107006792,0.739311619349253,0.887055837563452,0.985552859092977,0.68741168863308,1948,"tags=22%, list=18%, signal=18%","22417/18034/13649/21414/57265/22422/16476/13982/22409/18128/27015/22059/14296/12575/12387/20683/14367/74769/18129","Positive NES",19,"STm vs NT"
