"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","direction","core_gene_count","comparison"
"mmu04510","Focal adhesion",121,0.45955693022734,1.62117662854766,0.00299387003870891,0.0144850476872828,0.0101031527622065,2736,"tags=37%, list=26%, signal=28%","16774/16420/14254/16398/21825/16419/12389/22793/11796/18591/107589/13649/18752/16780/16782/17295/286940/16410/20779/16476/215449/11797/12390/11461/232906/12928/12387/192176/16776/74769/54635/14083/18479/13730/22330/12927/18720/109711/170758/226519/18708/18481/67268/19877/13367","Positive NES",45,"STm vs NT"
"mmu05143","African trypanosomiasis",14,0.747609006754449,1.81551031557285,0.00346097526527137,0.0165023313373084,0.0115101847113525,639,"tags=43%, list=6%, signal=40%","22329/21926/16173/14102/18752/15894","Positive NES",6,"STm vs NT"
"mmu04630","JAK-STAT signaling pathway",79,0.500875344371959,1.67900841025559,0.00353733837479315,0.0166254903615278,0.0115960867023294,2266,"tags=37%, list=21%, signal=29%","12981/12703/16878/16168/15979/18414/12700/15976/18712/18591/13649/13857/242700/14199/57914/16190/15980/16155/229615/12575/16195/213208/74769/16452/192157/328572/20851/216233/20850","Positive NES",29,"STm vs NT"
"mmu04151","PI3K-Akt signaling pathway",184,0.422183505882365,1.55462971368196,0.00404944207922885,0.0187643161136097,0.0130878928579969,1154,"tags=16%, list=11%, signal=15%","24088/16774/12977/16420/14254/16398/21825/18414/72930/16419/15976/12125/18033/18591/13649/13857/16780/83490/56484/20393/67168/16782/74747/17295/19697/16190/14924/16410/98432/13867","Positive NES",30,"STm vs NT"
"mmu05222","Small cell lung cancer",73,0.497994373730664,1.65040826762559,0.00522620129442401,0.0238808364703542,0.0166566064646847,1873,"tags=32%, list=18%, signal=26%","18126/16774/18035/16398/19225/22031/11796/18033/22642/22033/16780/11783/16782/22030/19697/16410/11797/27015/66197/22059/12575/16776/74769","Positive NES",23,"STm vs NT"
"mmu05414","Dilated cardiomyopathy",34,0.602362764408302,1.74845153966707,0.00659631565956048,0.0297286007122657,0.0207353542002046,1472,"tags=35%, list=14%, signal=31%","21926/16420/16398/21808/16419/12297/22003/16410/11515/326618/16905/11461","Positive NES",12,"STm vs NT"
"mmu04148","Efferocytosis",103,0.454248649554099,1.58216534388052,0.00679556572510532,0.029809881647462,0.0207920467097959,1290,"tags=23%, list=12%, signal=21%","20312/19225/21825/70686/12362/19094/16419/226421/19329/18018/18218/13857/18442/16423/22174/20393/12323/271457/19219/16410/319520/235584/240672/29857","Positive NES",24,"STm vs NT"
"mmu03040","Spliceosome",137,-0.319597907314384,-1.43987676098652,0.00677182322273748,0.029809881647462,0.0207920467097959,3696,"tags=45%, list=35%, signal=30%","66921/15382/192159/14105/56070/68183/233908/217207/67958/108014/66125/20639/20227/69192/28000/66094/78651/108121/192160/53817/66055/20222/53607/68011/54633/68816/67039/22668/67465/107701/75062/66101/21681/56194/66618/67229/386612/68988/76938/66492/56215/27967/192170/28035/66441/60321/57905/20641/209003/20382/22185/57317/56031/19655/67678/107829/67439/433702/15481/66585/66373/193740","Negative NES",62,"STm vs NT"
"mmu04517","IgSF CAM signaling",154,0.411366815184188,1.50000330044998,0.00692331334621038,0.0299706590908318,0.0209041871118264,2720,"tags=40%, list=26%, signal=30%","19094/71566/76787/20273/20743/234779/270152/107589/13821/18752/15894/73710/117600/18845/140721/14270/52118/17698/18844/19294/14924/16456/53321/18186/22151/20779/13448/215449/252966/21873/29857/56458/16728/11461/20411/12387/74769/192786/12488/21872/13052/17973/14083/18479/223435/22330/12927/58220/109711/211401/111173/170643/17886/11845/29875/17356/216856/18708/18803/18481/74117/67268","Positive NES",62,"STm vs NT"
"mmu01230","Biosynthesis of amino acids",54,-0.412370699866264,-1.58821316711317,0.0074202183140874,0.0317045691601916,0.0221135692750657,1340,"tags=30%, list=13%, signal=26%","66194/209027/67834/56454/11428/14718/108645/18641/13806/20425/108037/328099/19139/109652/12036/257635","Negative NES",16,"STm vs NT"
