"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","direction","core_gene_count","comparison"
"mmu00052","Galactose metabolism",20,0.448223580387847,1.2257957918611,0.180297397769517,0.498469276186311,0.416254938680618,2049,"tags=55%, list=19%, signal=45%","14430/14595/76051/15275/72157/14387/14635/11605/15277/18641/56421","Positive NES",11,"STm_MBCD vs MBCD"
"mmu00030","Pentose phosphate pathway",24,-0.412484438140338,-1.20994100107023,0.182203389830508,0.499540960451977,0.417149866190901,740,"tags=17%, list=7%, signal=16%","14120/18642/71336/74637","Negative NES",4,"STm_MBCD vs MBCD"
"mmu04961","Endocrine and other factor-regulated calcium reabsorption",27,0.422528751012788,1.23923900227096,0.186003683241252,0.499631845375058,0.417225761135466,573,"tags=11%, list=5%, signal=11%","13982/18752/11515","Positive NES",3,"STm_MBCD vs MBCD"
"mmu04662","B cell receptor signaling pathway",48,0.377494003521325,1.22258802003333,0.186792452830189,0.499631845375058,0.417225761135466,2407,"tags=35%, list=23%, signal=28%","18035/18037/83490/18033/15170/234779/16332/26417/18036/26395/18710/18708/12675/19697/12042/22325/11652","Positive NES",17,"STm_MBCD vs MBCD"
"mmu04611","Platelet activation",66,0.345598291503964,1.2034199760931,0.185873605947955,0.499631845375058,0.417225761135466,2550,"tags=30%, list=24%, signal=23%","18127/108101/11515/18762/70549/234779/16398/18783/26417/18441/18710/11512/16440/18708/69632/20619/109305/19094/11652/19224","Positive NES",20,"STm_MBCD vs MBCD"
"mmu00310","Lysine degradation",48,0.373620046815487,1.21004145501638,0.192452830188679,0.504057971014493,0.420921869892122,2463,"tags=40%, list=23%, signal=31%","270076/64707/26432/381022/70673/14013/110147/214162/20937/234135/213389/74729/75410/232811/110593/110460/208266/14055/56752","Positive NES",19,"STm_MBCD vs MBCD"
"mmu05222","Small cell lung cancer",73,0.329710433699262,1.1699435757966,0.191256830601093,0.504057971014493,0.420921869892122,2407,"tags=27%, list=23%, signal=21%","18126/18035/16410/18033/11796/226519/19225/16398/13557/27015/17873/19645/18710/18708/12675/19697/12576/66197/12367/11652","Positive NES",20,"STm_MBCD vs MBCD"
"mmu05161","Hepatitis B",127,0.300166368653575,1.16279250130381,0.19304347826087,0.504057971014493,0.420921869892122,2592,"tags=28%, list=24%, signal=21%","21926/24088/18035/20851/18752/18033/13712/21803/26419/26399/56489/106759/208647/22335/13557/26417/21808/19645/26401/26395/18710/18708/12675/14102/71586/19697/20848/11909/19094/12367/11652/16452/26409/12575/16476","Positive NES",35,"STm_MBCD vs MBCD"
"mmu04068","FoxO signaling pathway",101,0.312461945137541,1.16522846570339,0.195255474452555,0.505819299959768,0.422392696494959,3859,"tags=51%, list=36%, signal=33%","67731/213393/18099/22035/21803/26419/12125/329934/12581/26417/21808/384783/12053/17873/56484/67526/26395/18710/18708/12675/12176/74551/12359/12576/20848/18817/56458/19094/27373/11652/12575/57436/26557/15469/11920/13197/16337/93759/26415/21813/17246/108097/20663/19651/12452/17127/21812/20869/29857/12579/26420/18709","Positive NES",52,"STm_MBCD vs MBCD"
"mmu04330","Notch signaling pathway",50,0.372420660191714,1.21974801666323,0.2,0.5140625,0.429276315789474,2556,"tags=34%, list=24%, signal=26%","18128/16848/52335/103806/20238/21886/66935/66340/100764/59287/270118/207521/13542/16396/226548/433586/21888","Positive NES",17,"STm_MBCD vs MBCD"
